what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1448085978739
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1448085978944
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1448085988173
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1448085998598
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448085998748
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448086012967
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1448086017763
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448086017907
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448086051452
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448086053226
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448086072305
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448086117054
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448086130588
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448086193908
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1448086286065
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1448086405796
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1448086412699
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1448086416064
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448086420304
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1448086427945
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448086432402
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1448086434065
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448086434132
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448086439114
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448086474699
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1448086479015
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1448086487182
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448086488521
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1448086504522
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1448086507268
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448086513192
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1448086515782
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448086515854
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448086520568
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448086602305
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448086637139
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1448086648192
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448086653645
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1448086655774
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448086655816
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448086655856
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448086662511
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1448086670475
