what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1448660446925
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1448660449387
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1448660449658
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1448660451549
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1448660455493
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448660459430
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448660492496
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448660519692
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1448660555499
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1448660561527
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1448660618094
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1448660625185
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1448660632879
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448660641158
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448660645590
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1448660648078
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448660655800
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448660873422
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448660880048
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448660897969
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448660899192
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448661464379
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448661466160
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448661567724
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448661569951
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448662033761
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448662052515
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448662058338
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448662084887
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448662098668
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1448662184104
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448662185386
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448662237300
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448662239641
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448662418269
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448662419663
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1448662420799
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448662424671
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448662427067
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448662507985
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448662509074
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1448662531223
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1448662531410
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1448662533879
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1448662534129
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1448662535930
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1448662542830
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448662546914
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448662582035
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448662606926
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1448662622211
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1448662624697
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1448662625078
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1448662626802
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1448662630753
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448662634862
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448662660915
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448662682406
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1448662697634
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1448662707324
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1448662707388
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1448662709858
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1448662761244
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448662781959
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448662785276
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1448662791126
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1448662791478
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1448662793355
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1448662797122
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448662801807
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448662836856
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448662889521
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1448662898150
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1448662912848
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448662941900
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448663027152
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448663036589
