what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1448845549282
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.1.v201104032306,"org.eclipse.jst.jsf.facelet.ui",1448845549507
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.100.v201104191527,"org.eclipse.jst.jsf.facelet.core",1448845549549
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448845554040
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448845557509
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448845557536
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448845558951
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448845559014
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448845560102
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448845567807
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448845573413
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448845573433
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448845578536
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448845580704
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448845584027
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448845584049
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448845586244
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448845608530
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1448845613385
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1448845614105
