what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448141337943
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448141342870
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1448141347149
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448141351069
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1448141352121
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448141352193
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448141356916
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448141361575
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448141368882
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448141370491
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448141372376
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448141377955
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448141378662
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448141394905
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1448141406358
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448141412756
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448141432552
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1448141482804
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448141491847
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448141524840
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448141536956
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448141562870
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448141567185
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448141644099
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448141734287
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1448141884677
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1448141892380
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.stop",1448141892383
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1448141892939
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1448141893180
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448141894581
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1448141907528
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448141912543
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1448141916332
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448141916376
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448141920531
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448141931364
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448141942745
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1448142041838
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1448142045367
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448142049913
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1448142051586
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448142051635
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448142056486
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448142118697
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448142120386
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448142196433
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448142254430
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448142270812
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448142387464
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448142414357
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448142479305
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1448142482125
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448142494117
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1448142505944
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1448142505986
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448142506146
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448142542290
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448142543985
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1448142543985
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448142544051
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1448142547049
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448142551940
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1448142553765
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448142553804
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448142559816
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1448142563265
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1448142563305
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448142563484
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1448142565142
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1448142570899
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448142572237
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1448142572237
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448142574335
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448142722558
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448142732566
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448142736903
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448142752655
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1448142755288
error,log,,,"Could not retrieve interfaces",1448142795328
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448142843118
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448142875078
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448142884936
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448142885203
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1448142977895
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448142979361
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1448142982061
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448142983454
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448142989549
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448142998289
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448143049248
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448143056186
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1448143091283
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1448143101650
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448143124766
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448143144576
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1448143151058
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1448143158957
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1448143171908
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1448143191496
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1448143194173
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1448143197741
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448143367935
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448143391142
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1448143403712
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1448143411887
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448143455541
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448143457188
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1448143478225
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1448143478607
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448143529139
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1448143543954
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448143546387
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448143578665
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448143593318
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448143693899
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1448143700750
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448143701623
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448143729064
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1448143769113
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1448143769517
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448143770898
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448143774334
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448143780686
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448143783134
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448143806834
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448143840495
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448143872660
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448144022926
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1448144033803
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1448144038604
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448144040984
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1448144089010
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1448144091615
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448144119029
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448144219634
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448144220815
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1448144253444
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1448144258140
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448144259075
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448144309059
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1448144312753
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448144387228
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448144433163
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1448144466092
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1448144493073
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1448144502841
